price,date,time,geo_lat,geo_lon,region,building_type,level,levels,rooms,area,kitchen_area,object_type
2149764,2018-08-31,18:48:13,59.845437,30.115149,78,2,2,8,1,29.7,5.0,11
10470000,2018-08-31,21:57:43,60.0135965,30.3883656,78,3,9,22,2,72.4,14.0,1
15800000,2018-09-01,12:50:02,55.6807931,37.4845931,77,2,16,25,2,57.8,9.0,1
3150000,2018-09-01,12:58:41,55.802925,38.457947,50,2,4,17,2,53.0,8.5,1
8771000,2018-09-01,13:21:11,59.9215495,30.4336026,78,2,7,16,4,95.0,24.0,11
2650000,2018-09-01,18:12:19,55.9634074,37.9126379,50,3,4,5,1,33.0,6.0,1
7000000,2018-09-02,08:46:05,55.552408,37.552157,77,1,8,22,1,38.1,10.0,1
4700000,2018-09-03,10:05:01,43.6230269,39.7488778,23,2,11,16,1,48.0,10.0,1
2000000,2018-09-04,09:32:26,61.7675242,34.3784484,10,1,2,5,3,49.6,6.1,1
12500000,2018-09-04,09:32:49,55.6757857,37.6647249,77,1,6,16,4,71.0,7.0,1
1749000,2018-09-04,10:02:28,45.028744,38.978601,23,3,1,1,1,28.0,4.0,1
1330000,2018-09-04,16:41:31,51.6364936,39.2731042,36,3,7,9,1,30.0,5.6,1
3200000,2018-09-04,17:51:10,57.5797443,39.849094,76,3,7,9,1,47.0,12.0,1
3200000,2018-09-05,12:57:15,43.6286394,39.7213167,23,1,1,5,1,36.0,9.0,1
2700000,2018-09-05,13:47:22,45.1144372,38.9915437,23,2,7,17,2,62.0,13.0,1
3750000,2018-09-06,00:19:05,47.223688,39.714968,61,1,9,10,3,60.0,8.0,1
2420000,2018-09-06,15:42:22,47.249519,39.717744,61,1,3,5,3,57.0,6.0,1
4500000,2018-09-08,00:02:02,60.0810272,30.3409889,78,2,21,27,1,41.4,13.5,1
1375000,2018-09-08,00:03:33,56.7944975,53.1860188,18,3,2,5,1,34.0,8.0,1
3150000,2018-09-08,00:04:14,55.7120531,49.1813351,16,3,5,5,1,50.0,14.0,11
9300000,2018-09-08,00:08:14,59.9391313,30.3159004,78,3,2,6,2,80.3,8.8,1
8300000,2018-09-08,00:09:12,60.058138,30.2912622,78,3,4,6,2,74.0,14.0,1
10500000,2018-09-08,00:10:33,55.5677216,37.4445694,77,2,2,8,3,62.0,4.0,1
2100000,2018-09-08,00:14:24,45.0922453,39.0083362,23,2,8,10,1,42.3,13.7,1
3200000,2018-09-08,00:14:46,45.042604,38.994833,23,2,15,25,1,42.0,11.0,1
2800000,2018-09-08,00:15:18,44.6727019,37.7873634,23,2,5,16,2,60.0,11.8,1
2250000,2018-09-08,00:15:30,45.092175,38.907535,23,2,2,9,2,49.3,11.0,1
4700000,2018-09-08,00:15:38,44.8898336,37.3128991,23,2,8,16,2,50.0,15.0,1
8499999,2018-09-08,00:15:39,45.040216,38.975996,23,2,8,24,3,122.0,20.0,1
3000000,2018-09-08,00:15:53,45.026979,39.087656,23,2,8,16,1,52.1,16.0,1
2581500,2018-09-08,00:16:09,45.092175,38.907535,23,2,8,12,2,54.0,10.3,1
2662000,2018-09-08,00:16:15,44.7109441,37.7773073,23,2,4,12,1,48.4,15.1,1
2299000,2018-09-08,00:16:23,45.0391977,38.913218,23,2,18,24,1,26.1,5.0,1
10250000,2018-09-08,00:16:55,44.5548253,38.0750783,23,2,12,12,2,77.6,17.0,1
6300000,2018-09-08,00:18:00,44.6812389,37.786473,23,2,5,6,3,136.0,10.0,1
1900000,2018-09-08,00:18:23,45.093995,39.001463,23,2,6,16,1,39.6,11.9,1
1880000,2018-09-08,00:18:27,44.998382,39.076221,23,2,8,19,1,42.3,14.5,1
990000,2018-09-08,00:18:39,45.0972055,39.0297997,23,2,3,3,1,17.9,4.0,1
10250000,2018-09-08,00:19:03,47.2239119,39.702144,61,3,2,3,7,166.0,24.0,1
2550000,2018-09-08,00:19:11,45.0660632,38.9665226,23,2,15,21,1,42.0,12.0,1
1500000,2018-09-08,00:19:22,44.0542947,43.0372682,26,1,7,8,2,33.0,4.0,1
